!NGx Ngy
171 121
!  x[cm]	   y[cm]	  Bx[Arb]	By[Arb]		
-6.900000	 2.300000	-0.303988	-0.635478
-6.900000	 2.400000	-0.315430	-0.621356
-6.900000	 2.500000	-0.327140	-0.608365
-6.900000	 2.600000	-0.337565	-0.593017
-6.900000	 2.700000	-0.348346	-0.578743
-6.900000	 2.800000	-0.352141	-0.565218
-6.900000	 2.900000	-0.353527	-0.549254
-6.900000	 3.000000	-0.359224	-0.529983
-6.900000	 3.100000	-0.364768	-0.514728
-6.900000	 3.200000	-0.374158	-0.499824
-6.900000	 3.300000	-0.377996	-0.484129
-6.900000	 3.400000	-0.383983	-0.466341
-6.900000	 3.500000	-0.386051	-0.449014
-6.900000	 3.600000	-0.384823	-0.432042
-6.900000	 3.700000	-0.388922	-0.420221
-6.900000	 3.800000	-0.393212	-0.398794
-6.900000	 3.900000	-0.395478	-0.388607
-6.900000	 4.000000	-0.398150	-0.370645
-6.900000	 4.100000	-0.397453	-0.356335
-6.900000	 4.200000	-0.400906	-0.339313
-6.900000	 4.300000	-0.394005	-0.320720
-6.900000	 4.400000	-0.395230	-0.307923
-6.900000	 4.500000	-0.398432	-0.293342
-6.900000	 4.600000	-0.398089	-0.279333
-6.900000	 4.700000	-0.397538	-0.266715
-6.900000	 4.800000	-0.391387	-0.252892
-6.900000	 4.900000	-0.390522	-0.242063
-6.900000	 5.000000	-0.391079	-0.224995
-6.900000	 5.100000	-0.388527	-0.213517
-6.900000	 5.200000	-0.387266	-0.199554
-6.900000	 5.300000	-0.382768	-0.189863
-6.900000	 5.400000	-0.383451	-0.175587
-6.900000	 5.500000	-0.383941	-0.163134
-6.900000	 5.600000	-0.382209	-0.149316
-6.900000	 5.700000	-0.379747	-0.137640
-6.900000	 5.800000	-0.377693	-0.126506
-6.900000	 5.900000	-0.376513	-0.117140
-6.900000	 6.000000	-0.378123	-0.108047
-6.800000	-6.000000	 0.385872	-0.102929
-6.800000	-5.900000	 0.390141	-0.116032
-6.800000	-5.800000	 0.390166	-0.125188
-6.800000	-5.700000	 0.390838	-0.137978
