#      RECTANGULAR GRID:                                                         
#     R    151 POINTS: R=0.60000E+03,0.75000E+03,0.10000E+01                     
#     Z     11 POINTS: Z=0.00000E+00,0.10000E+02,0.10000E+01                     
# TABLE: R         Z          BR          BZ                                     
 0.64700E+03 0.10000E+01 0.69743E+02 0.13658E+04
 0.64800E+03 0.10000E+01 0.73580E+02 0.14374E+04
 0.64900E+03 0.10000E+01 0.77591E+02 0.15127E+04
 0.65000E+03 0.10000E+01 0.82545E+02 0.15923E+04
 0.65100E+03 0.10000E+01 0.87493E+02 0.16774E+04
 0.65200E+03 0.10000E+01 0.92226E+02 0.17671E+04
 0.65300E+03 0.10000E+01 0.97169E+02 0.18614E+04
 0.65400E+03 0.10000E+01 0.10344E+03 0.19610E+04
 0.65500E+03 0.10000E+01 0.10922E+03 0.20675E+04
 0.65600E+03 0.10000E+01 0.11506E+03 0.21795E+04
 0.65700E+03 0.10000E+01 0.12116E+03 0.22970E+04
 0.65800E+03 0.10000E+01 0.12903E+03 0.24213E+04
 0.65900E+03 0.10000E+01 0.13599E+03 0.25541E+04
 0.66000E+03 0.10000E+01 0.14327E+03 0.26934E+04
 0.66100E+03 0.10000E+01 0.15091E+03 0.28396E+04
 0.66200E+03 0.10000E+01 0.16065E+03 0.29949E+04
 0.66300E+03 0.10000E+01 0.16949E+03 0.31602E+04
 0.66400E+03 0.10000E+01 0.17883E+03 0.33339E+04
 0.66500E+03 0.10000E+01 0.18875E+03 0.35164E+04
 0.66600E+03 0.10000E+01 0.20118E+03 0.37112E+04
 0.66700E+03 0.10000E+01 0.21284E+03 0.39187E+04
 0.66800E+03 0.10000E+01 0.22529E+03 0.41370E+04
 0.66900E+03 0.10000E+01 0.23857E+03 0.43670E+04
 0.67000E+03 0.10000E+01 0.25489E+03 0.46143E+04
 0.67100E+03 0.10000E+01 0.27055E+03 0.48774E+04
 0.67200E+03 0.10000E+01 0.28723E+03 0.51553E+04
 0.67300E+03 0.10000E+01 0.30497E+03 0.54488E+04
 0.67400E+03 0.10000E+01 0.32597E+03 0.57659E+04
 0.67500E+03 0.10000E+01 0.34617E+03 0.61030E+04
 0.67600E+03 0.10000E+01 0.36726E+03 0.64589E+04
 0.67700E+03 0.10000E+01 0.38922E+03 0.68340E+04
 0.67800E+03 0.10000E+01 0.41341E+03 0.72388E+04
 0.67900E+03 0.10000E+01 0.43589E+03 0.76652E+04
 0.68000E+03 0.10000E+01 0.45800E+03 0.81121E+04
 0.68100E+03 0.10000E+01 0.47946E+03 0.85790E+04
 0.68200E+03 0.10000E+01 0.49964E+03 0.90739E+04
 0.68300E+03 0.10000E+01 0.51563E+03 0.95847E+04
 0.68400E+03 0.10000E+01 0.52771E+03 0.10109E+05
 0.68500E+03 0.10000E+01 0.53495E+03 0.10645E+05
 0.68600E+03 0.10000E+01 0.53237E+03 0.11185E+05
 0.68700E+03 0.10000E+01 0.51895E+03 0.11716E+05
 0.68800E+03 0.10000E+01 0.49474E+03 0.12231E+05
 0.68900E+03 0.10000E+01 0.45917E+03 0.12719E+05
 0.69000E+03 0.10000E+01 0.40341E+03 0.13155E+05
 0.69100E+03 0.10000E+01 0.34275E+03 0.13527E+05
 0.69200E+03 0.10000E+01 0.27878E+03 0.13840E+05
 0.69300E+03 0.10000E+01 0.21419E+03 0.14091E+05
 0.69400E+03 0.10000E+01 0.14993E+03 0.14269E+05
 0.69500E+03 0.10000E+01 0.10186E+03 0.14386E+05
 0.69600E+03 0.10000E+01 0.63209E+02 0.14463E+05
 0.69700E+03 0.10000E+01 0.33978E+02 0.14507E+05
 0.69800E+03 0.10000E+01 0.13863E+02 0.14528E+05
 0.69900E+03 0.10000E+01 0.44076E+01 0.14533E+05
 0.70000E+03 0.10000E+01 -.10665E+01 0.14532E+05
 0.70100E+03 0.10000E+01 -.35539E+01 0.14529E+05
 0.70200E+03 0.10000E+01 -.40965E+01 0.14524E+05
 0.70300E+03 0.10000E+01 -.35170E+01 0.14520E+05
 0.70400E+03 0.10000E+01 -.27924E+01 0.14517E+05
 0.70500E+03 0.10000E+01 -.20373E+01 0.14515E+05
 0.70600E+03 0.10000E+01 -.13429E+01 0.14513E+05
 0.70700E+03 0.10000E+01 -.81313E+00 0.14512E+05
 0.70800E+03 0.10000E+01 -.42243E+00 0.14511E+05
 0.70900E+03 0.10000E+01 -.12932E+00 0.14511E+05
 0.71000E+03 0.10000E+01 0.79451E-01 0.14511E+05
 0.71100E+03 0.10000E+01 0.22521E+00 0.14511E+05
 0.71200E+03 0.10000E+01 0.34161E+00 0.14511E+05
 0.71300E+03 0.10000E+01 0.43831E+00 0.14512E+05
 0.71400E+03 0.10000E+01 0.50711E+00 0.14512E+05
 0.71500E+03 0.10000E+01 0.57021E+00 0.14513E+05
 0.71600E+03 0.10000E+01 0.62675E+00 0.14514E+05
 0.71700E+03 0.10000E+01 0.66170E+00 0.14514E+05
 0.71800E+03 0.10000E+01 0.61585E+00 0.14515E+05
 0.71900E+03 0.10000E+01 0.39017E+00 0.14516E+05
 0.72000E+03 0.10000E+01 -.21665E+00 0.14516E+05
 0.72100E+03 0.10000E+01 -.15808E+01 0.14516E+05
 0.72200E+03 0.10000E+01 -.43389E+01 0.14514E+05
 0.72300E+03 0.10000E+01 -.94022E+01 0.14509E+05
 0.72400E+03 0.10000E+01 -.18451E+02 0.14497E+05
 0.72500E+03 0.10000E+01 -.33440E+02 0.14476E+05
 0.72600E+03 0.10000E+01 -.56130E+02 0.14436E+05
 0.72700E+03 0.10000E+01 -.87627E+02 0.14369E+05
 0.72800E+03 0.10000E+01 -.12932E+03 0.14267E+05
 0.72900E+03 0.10000E+01 -.17990E+03 0.14118E+05
 0.73000E+03 0.10000E+01 -.23720E+03 0.13915E+05
 0.73100E+03 0.10000E+01 -.29763E+03 0.13650E+05
 0.73200E+03 0.10000E+01 -.35566E+03 0.13323E+05
 0.73300E+03 0.10000E+01 -.40581E+03 0.12939E+05
 0.73400E+03 0.10000E+01 -.44425E+03 0.12510E+05
 0.73500E+03 0.10000E+01 -.46829E+03 0.12048E+05
 0.73600E+03 0.10000E+01 -.48249E+03 0.11566E+05
 0.73700E+03 0.10000E+01 -.48686E+03 0.11078E+05
 0.73800E+03 0.10000E+01 -.48423E+03 0.10590E+05
 0.73900E+03 0.10000E+01 -.47734E+03 0.10108E+05
 0.74000E+03 0.10000E+01 -.46934E+03 0.96366E+04
 0.74100E+03 0.10000E+01 -.46256E+03 0.91727E+04
 0.74200E+03 0.10000E+01 -.45863E+03 0.87152E+04
 0.74300E+03 0.10000E+01 -.45958E+03 0.82595E+04
 0.74400E+03 0.10000E+01 -.46643E+03 0.78002E+04
 0.74500E+03 0.10000E+01 -.47972E+03 0.73306E+04
 0.74600E+03 0.10000E+01 -.49896E+03 0.68441E+04
 0.74700E+03 0.10000E+01 -.52262E+03 0.63355E+04
 0.74800E+03 0.10000E+01 -.54738E+03 0.58006E+04
 0.74900E+03 0.10000E+01 -.56889E+03 0.52403E+04
 0.75000E+03 0.10000E+01 -.58097E+03 0.46605E+04
 0.60000E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60100E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60200E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60300E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60400E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60500E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60600E+03 0.20000E+01 0.00000E+00 0.00000E+00
 0.60700E+03 0.20000E+01 0.13158E+01 0.37333E+03
 0.60800E+03 0.20000E+01 0.27627E+01 0.37424E+03
 0.60900E+03 0.20000E+01 0.40736E+01 0.37598E+03
 0.61000E+03 0.20000E+01 0.58201E+01 0.37853E+03
 0.61100E+03 0.20000E+01 0.74638E+01 0.38177E+03
 0.61200E+03 0.20000E+01 0.88527E+01 0.38584E+03
 0.61300E+03 0.20000E+01 0.10472E+02 0.39070E+03
 0.61400E+03 0.20000E+01 0.12329E+02 0.39635E+03
 0.61500E+03 0.20000E+01 0.13967E+02 0.40286E+03
 0.61600E+03 0.20000E+01 0.15506E+02 0.41022E+03
 0.61700E+03 0.20000E+01 0.17412E+02 0.41846E+03
 0.61800E+03 0.20000E+01 0.19497E+02 0.42754E+03
 0.61900E+03 0.20000E+01 0.21258E+02 0.43770E+03
 0.62000E+03 0.20000E+01 0.23026E+02 0.44873E+03
 0.62100E+03 0.20000E+01 0.25313E+02 0.46081E+03
 0.62200E+03 0.20000E+01 0.27681E+02 0.47389E+03
 0.62300E+03 0.20000E+01 0.29717E+02 0.48819E+03
 0.62400E+03 0.20000E+01 0.31864E+02 0.50350E+03
 0.62500E+03 0.20000E+01 0.34617E+02 0.52010E+03
 0.62600E+03 0.20000E+01 0.37342E+02 0.53790E+03
